text,true_emotion,predicted_emotion
I wouldn't have #anger issues.....if she didn't have #lying issues.....think about that one. #pow #lies #confusion,anger,anger
@IllinoisLoyalty that Rutgers game was an abomination. An affront to God and man. We must never speak of it again.,anger,sadness
@danbloom1 beware the fury of a weak king,anger,fear
@UKBlogAwards @ModishMale I would always be honest but it's great to feedback opinion to the brand - don't want to offend them #BlogHour,anger,sadness
"@HomeSwapperteam  Spent months arranging swap , new jobs etc, now I've found out she's been leading me on a merry dance. #fuming with her",anger,anger
"Is it me, or is Ding wearing the look of a man who's just found his arch enemy in bed with his missus? #angryman ",anger,anger
Just joined #pottermore and was sorted into HUFFLEPUFF 😡😡😡 #fuming,anger,anger
@fluffysoftlouis no no. I insist that you give me your best insult first,anger,anger
@ArcticFantasy I would have almost took offense to this if I actually snapped you,anger,anger
"[ @HedgehogDylan ] *she would frown a bit, folding her arms* 'why is it that every time I'm in need of assistance someone expects a lil **",anger,fear
If I spend even 5 minutes with you and you already irritate me I seriously will bitch you out until you shut up,anger,anger
"@huwellwell One chosen by the CLP members! MP seats are not for people to dole out to their mates, we elect candidates. ",anger,anger
@isthataspider @dhodgs i will fight this guy! Don't insult the lions like that! But seriously they kinda are.Wasted some of the best players,anger,anger
"Anger, resentment, and hatred are the destroyer of your fortune today.'",anger,anger
Might just leave and aggravate bae,anger,sadness
"Me being on my dean really saving a lot of ppl, bc I don't snap nomore &amp; it take so much out of me..",anger,sadness
I think @Sam_Canaday &amp; @KYLEJDOWSON must actually have to be working like me &amp; @dowson_brady because I havent got any snap chat videos today,anger,sadness
"I miss my gran singing Rawhide, in her deep baritone growl.",anger,sadness
@DJ_JeanFranko growl!!!,anger,anger
"(Sam) Brown's Law: Never offend people with style when you can fake that, you have to break us in this Island.",anger,anger
@SAHARTHERAPPER I unfollowed without hesitation &lt;3,fear,joy
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot ,fear,joy
Nothing worse than an uber driver that can't drive. ,fear,anger
On @Varneyco/@FoxBusiness to talk latest on #Chelsea Bombing + #Ahmad_Khan_Rahami's trips to #Afghanistan/#Pakistan #tcot #terror,fear,fear
Watching It Follows.  This is a super freaky movie.  #scary,fear,fear
I know this is going to be one of those nights where it takes an Act of God to fall asleep. ,fear,sadness
@TheDappaMc also £2.50 for a chocolate Feast ice lolly.. proper shocking 😩,fear,sadness
@ChrissyCostanza and have social anxiety. There is many awkward things wrong with me. 😄,fear,sadness
It really is amazing the money they give to some of these QB's #nfl #texans #brock ,fear,joy
"@madhav_pastey moral of the story, never check mails in the night. PS. Most notices have nothing much to worry about. @ashwinikn",fear,sadness
Bout ta get my @dontbreathe on up in here! @WarrenTheaters  #icantholdmybreaththatlong,fear,fear
It really is amazing the money they give to some of these QB's #nfl #texans #brock #terrible,fear,anger
@joey_coops yes Hun! Avoid at all costs!! #nightmare,fear,anger
"Honestly, there are some awful people on the internet... smh...",fear,sadness
"They'll be yo friend, shake your hand, then kick in yo door thas the way the game go🤖🤐.",fear,fear
"@spencer0415 awe, I love you kid!!",fear,joy
T5ylw ansh a79l shy 7lw mn wayed nas fe whatsapp,fear,joy
Why upping rooms makes a few apprehend leaving out charcoal ownership: UnZU,fear,fear
Southend players always haunt Man U,fear,anger
@mikefreemanNFL \nIsn't OBrien supposed to be some sort of offensive genius #awful,fear,anger
@MacDsmash you should get some @SSB_Swedish delight,joy,joy
@Bridget_Jones was joyous. Worried I would be disappointed. Most definitely was not. #chickflick #giggles #comethefuckonbridget,joy,joy
Chris would take full responsibility and would want us all to rejoice in the memories we all had with him.,joy,joy
@chencouture LMAO Is it that 'so slutty' hater girl? That video was hilarious. 😂,joy,joy
"Imagine how sad LA fans are gona be when they get eliminated...Man that's gonna be Nirvana, a religious experience rejoicing in their misery",joy,joy
"This tweet is dedicated to my back pain, which I do not understand because I am youthful and spry. Full of life. Vivacious.",joy,sadness
I turn 25 in two weeks. I am so happy. 24 was my darkest year yet. I am elated that I survived,joy,joy
4-2 Canada final tomorrow #WCH #Predictions #optimism #Canadian 🇨🇦,joy,joy
Each day is what you make of it! #goals #challenges #business #goals #optimism #happy #success #photographer #photography #ThursdayThoughts,joy,joy
"@Geminiak @LondonNPC you're welcome! #wordgeek \nAlso, good to put a face to the twitter feed, even if it was only a cheery hello! 😀",joy,joy
"Our tone of voice: we're like One Direction, we're thoughtful and timid, yet playful",joy,joy
A hearty Jonza! to all my friends and follower.,joy,joy
"@theclobra lol I thought maybe, couldn't decide if there was levity or not",joy,sadness
"...at your age, the heyday in the blood is tame...' @TheArtofCharm #shakespeareaninsults #hamlet #elizabethan #williamshakespeare",joy,sadness
Tutoring gives me such an exhilarating feeling. I love helping people 😌,joy,joy
I love my family so much #lucky #grateful #smartassfamily  #love,joy,joy
@Bluebelle89 @lsmith855 liking the optimism,joy,joy
"@diehimbeertonis She developed her 'forced smile'. I can force myself to describe it 'a little hearty maybe, sanki biraz':)",joy,joy
Somebody who has braved the storm is brewing. ,joy,sadness
Metal keeps you young and spry and keeps your hair luxurious.\n\nYES\n\nSHUT UP AND LISTEN TO ME,joy,anger
Rooney is 5 yards off the pace in a League Cup game against Northampton Town. Let that sink in for a moment. #MUFC,sadness,sadness
amateur author Twitter might be the most depressing thing I've ever seen,sadness,sadness
SOBRIETY®   trying to make being sober fashionable….can it be done ? #zeroalcohol #soberoctober #clubsoda #nomorehangovers #sober,sadness,joy
Public products: high downhearted price tag consumer survey sum and substance: OVth,sadness,sadness
Folk Band 'Thistle Down' will be replaced by 'The Paul Edwards Quartet' at Laurel Bank Park Sat 24 11am - 3pm due to ill health #jazz #blues,sadness,sadness
Don't depress yourself by comparing yourself. No comparisons.,sadness,sadness
"@StaceyDavidson_ You're a thief and a liberal mope, investigated by the financial services board for theft of govt retirement funds. THIEF",sadness,anger
@pmo100 @5liveSport .....I heard talk something is a miss. He looks weary.,sadness,sadness
This world has some serious issues we should all go to therapy,sadness,sadness
"Hello my dear friends, I will be back online this Friday night. I miss you! #sober #sobriety #recovery",sadness,joy
"I'd rather laugh with the rarest genius, in beautiful alliance with his own being, where he kept his sadness. #melancholy",sadness,sadness
My life went from happy to unhappy..,sadness,sadness
@xOffWithMyHeadx They've officially said all the episodes left (so future 12 and despair 11 and 12) will be delayed.,sadness,sadness
"@ccrago It was dreadful, even after he met the Catfish he still thought it was her!",sadness,sadness
@Barcabhoy1 Of course not. Didn't sink his studs into a knee like Forrester,sadness,anger
"A pessimist is someone who, when opportunity knocks, complains about the noise #mikeshumor",sadness,joy
@AnjiDunlap droop in leggings? Are they wearing XXXL?,sadness,anger
HATE that there's ads for #depression &amp; #mentalhealth #meds. That's ONLY something your doctor can determine. Everyone is different. #ssri,sadness,anger
"Donating to Trump puts a damper on a very exciting @Cubs season. Really bad look, Ricketts family.",sadness,anger
aaahhhh! a little @OtisRedding to soothe the soul. #music ,sadness,joy
