text,true_emotion,predicted_emotion
Can someone explain to me what's stopping [NAME] from pardoning everything [NAME] even gazes at?,anger,surprise
I disagree. In that I believe that season 3 was also very good. I think it's better than season 4.,anger,anger
Don't ruin it for him,anger,sadness
Just a heads up thats not what neoliberalism is.,anger,anger
Nope this was Saturdays sunset :) I wish I was out there today for the sunset!,anger,joy
"That's all [NAME] had to do with his egg, instead he decided to bathe with it to make things weird",disgust,disgust
This might be the worst FO in Orlando magic history,disgust,sadness
@carlymarierozy @makeupsue it's sad but now we are making our own children vulnerable to the same terror.,disgust,sadness
"He was an awful HC, is in his 70s and has repeatedly said he doesnt want to do it again. ",disgust,anger
Youre an awful troll...,disgust,anger
looked at me like i had flesh eating bacteria or a still-birthed twin growing from the left side of my head.,fear,disgust
"Well what is she gonna do, climb over the wall?",fear,surprise
I just realized that I have stitches in my mouth.,fear,surprise
Maybe so. Should I try to ask her about it? I'm worried that will only scare her more,fear,fear
In my opinion at night peds have just as much responsibility of being seen as drivers have to see.,fear,anger
I remember being 4 and so excited to help pair the socks after they were dried. Kids love being involved.,joy,joy
"Idk what dumbass downvoted you, somatotypes are bullshit lol",joy,disgust
Just be there for him in the best way you can. Look out for him but also keep yourself in mind. It's all you can do,joy,joy
YOU KNOW HOW MUCH I SACRIFICED?,joy,anger
"""Yeah but they're not violating *my* rights so it's okay""",joy,anger
This made me incredibly happy and incredibly sad. Sometimes this universe robs us of the wrong people.,sadness,sadness
"You have to drink 25 beers in a row to unlock them though, so they're pretty hard to get without cheating.",sadness,surprise
Baaarissshhhhh + sad song =  prefect night  feeling alone,sadness,sadness
"Yeah, I might have used the wrong word.",sadness,surprise
"the original concern was about one particular type of vaccine, not all vaccinations.",sadness,surprise
"Ahhh, I see. I thought you were saying they made you afraid of the sessions.",surprise,fear
Is your friend a carny? Its okay if they are in just curious?,surprise,surprise
"That may work in General, but I think thered still be problems. ",surprise,surprise
I forgot not everyone has accused me of,surprise,surprise
Baby what is you doing.,surprise,surprise
